strain,gisaid_epi_isl,originating_lab,submitting_lab,authors
hCoV-19/New Zealand/23YA1146/2023,EPI_ISL_17252784,Pathlab Tauranga,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Bethany Forsythe, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Yoryea Mantziou-Hogg, Lauren Jelly, Olin Silander, Kirti Deo, Ana Claasen, Subin Jeon, Joep de Ligt, David Winter, Abbey Huriwai, Anju Keenan, Laura Kerr, Tisiola Talalima, Amy Bradhsaw, Klarysse Berquist"
hCoV-19/South Africa/CERI-KRISP-K052294/2023,EPI_ISL_16823475,PathCare,"CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.","Maponga T, Claassen M, Stander T, van Zyl G, Preiser W, Giandhari J, Pillay S, Naidoo Y, Maharaj A, Anyaneji UJ, Sanko TJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T"
hCoV-19/Botswana/R199B37_BHP_122085392/2022,EPI_ISL_16521202,Diagnofirm Medical Laboratories,Botswana Harvard HIV Reference Laboratory,"Sikhulile Moyo, Wonderful T. Choga, Dorcas Maruapula, Ignetious Makozhombwe, Mohammed Chand, Sefetogi Ramaologa, Badisa Phafane, Thongbotho Mphoyakgosi, Boitumelo Zuze, Legodile Kooepile, Nokuthula Ndlovu, Patience Motshosi, Kedumetse Seru, Lesego Kuate-Lere, Kutlo Machete, Pamela Smith-Lawrence, Tefelo Thela, Shirley Johane, Mogomotsi Matshaba, Roger Shapiro, Shahin Lockman, Joseph Makhema, Mphaphi B. Mbulawa, Simani Gaseitsiwe"
hCoV-19/Botswana/R185B95_BHP_AAD0682/2022,EPI_ISL_15851922,Botswana Harvard HIV Reference Laboratory,Botswana Harvard HIV Reference Laboratory,"Sikhulile Moyo, Wonderful T. Choga, Dorcas Maruapula, Sefetogi Ramaologa, Thongbotho Mphoyakgosi, Boitumelo Zuze, Legodile Kooepile, Faith T. Hungwe, Nokuthula Ndlovu, Patience Motshosi, Kedumetse Seru, Lesego Kuate-Lere, Kutlo Machete, Pamela Smith-Lawrence, Shirley Johane, Mogomotsi Matshaba, Roger Shapiro, Shahin Lockman, Joseph Makhema, Mphaphi B. Mbulawa, Simani Gaseitsiwe"
hCoV-19/Eswatini/N52538/2022,EPI_ISL_17096020,Good Sherperd Hospital,National Institute for Communicable Diseases of the National Health Laboratory Service,"Maphalala G, Everatt J, Kekana D, Ntozini B, Mahlangu B, Stock N, Ntuli N, Mnguni A, Nzimande A, Ismail A, Scheepers C, Bhiman JN, Wolter N"
hCoV-19/Aruba/AW-RIVM-121158/2022,EPI_ISL_16296226,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Australia/TAS004312/2022,EPI_ISL_15823483,Royal Hobart Hospital,Royal Hobart Hospital,"J Williamson, R Vanhaeften, J Maskell, C Atkinson, M Yow, L French, Dr. L Cooley, Dr. J Chua"
hCoV-19/Mongolia/UB-97599/2022,EPI_ISL_15607944,National Center for Communicable Diseases (NCCD) National Influenza Center,National Center for Communicable Diseases (NCCD) National Influenza Center,"Bayasgalan Namuutsetseg, Naranzul Tsedenbal, Khishigmunkh Chimedregzen, Seiichiro Fujisaki, Mina Nakauchi, Hideka Miura, Shinji Watanabe, Tsogzolmaa Ganbold, Bumdelger Bayanmunkh, Darmaa Badarch, Nymadawa Pagvajav, Bilegtsaikhan Tsolmon"
hCoV-19/Cabo Verde/ST_AG0836/2022,EPI_ISL_15911919,Virology Laboratory of Praia,Instituto Nacional de Saúde Pública (INSP),"Kevin Sanders, Isaias Varela, Dénnis Imanuel, Djelissa Fernandes, Maria da Luz Lima"
hCoV-19/Eswatini/N52540/2023,EPI_ISL_17096029,Manzania,National Institute for Communicable Diseases of the National Health Laboratory Service,"Maphalala G, Everatt J, Kekana D, Ntozini B, Mahlangu B, Stock N, Ntuli N, Mnguni A, Nzimande A, Ismail A, Scheepers C, Bhiman JN, Wolter N"
hCoV-19/Guatemala/155-LNS/2023,EPI_ISL_16638528,"Laboratorio Nacional de Salud (LNS), Guatemala","Laboratorio Nacional de Salud (LNS), Guatemala","Mendoza L, Perez M, Calan K"
hCoV-19/Vanuatu/VAN114/2022,EPI_ISL_15640975,Vila Central Hospital,Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL),"Sero, K., Garae Tarinavanue, C., Natuman, S., Seemann, T., Horan, K., Sherry, N.L."
hCoV-19/Botswana/R199B48_BHP_AAD0653/2022,EPI_ISL_16521208,Botswana Harvard AIDS Institute Partnership,Botswana Harvard HIV Reference Laboratory,"Sikhulile Moyo, Wonderful T. Choga, Dorcas Maruapula, Sefetogi Ramaologa, Thongbotho Mphoyakgosi, Boitumelo Zuze, Legodile Kooepile, Nokuthula Ndlovu, Patience Motshosi, Kedumetse Seru, Lesego Kuate-Lere, Kutlo Machete, Pamela Smith-Lawrence, Tefelo Thela, Shirley Johane, Mogomotsi Matshaba, Roger Shapiro, Shahin Lockman, Joseph Makhema, Mphaphi B. Mbulawa, Simani Gaseitsiwe"
hCoV-19/Eswatini/N52511/2022,EPI_ISL_17096028,The Luke Commission,National Institute for Communicable Diseases of the National Health Laboratory Service,"Maphalala G, Everatt J, Kekana D, Ntozini B, Mahlangu B, Stock N, Ntuli N, Mnguni A, Nzimande A, Ismail A, Scheepers C, Bhiman JN, Wolter N"
hCoV-19/Botswana/R186B04_BHP_2022004432/2022,EPI_ISL_15851925,Botswana Harvard HIV Reference Laboratory,Botswana Harvard HIV Reference Laboratory,"Sikhulile Moyo, Wonderful T. Choga, Dorcas Maruapula, Sefetogi Ramaologa, Thongbotho Mphoyakgosi, Boitumelo Zuze, Legodile Kooepile, Faith T. Hungwe, Nokuthula Ndlovu, Patience Motshosi, Kedumetse Seru, Lesego Kuate-Lere, Kutlo Machete, Pamela Smith-Lawrence, Shirley Johane, Mogomotsi Matshaba, Roger Shapiro, Shahin Lockman, Joseph Makhema, Mphaphi B. Mbulawa, Simani Gaseitsiwe"
hCoV-19/Canada/SK-RRPL-556739/2022,EPI_ISL_16160520,SK-Roy Romanow Provincial Laboratory,Saskatchewan - Roy Romanow Provincial Laboratory (RRPL),"Ryan McDonald, Keith MacKenzie, Meredith Faires, Kara Loos, Stefani Kary, Rachel DePaulo, Laura Klassen, Amanda Lang, Jessica Minion, Roy Romanow Provincial Laboratory - Molecular Diagnostics"
hCoV-19/Mexico/BCS_IBT_IMSS_076040LCE_NC/2022,EPI_ISL_14226084,Laboratorio Central de Epidemiología (LCE),Instituto de Biotecnología de la UNAM,"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Ávila-Ríos, Eduardo Becerril-Vargas, Víctor Hugo Borja-Aburto, Celia Boukadida, Cristóbal Cháidez-Quiróz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce, Andreu Comas-García, Célida Duque Molina, Julissa Enciso-Ibarra, José Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo García-Arias, Alejandra García-Gasca, Bruno Gómez-Gil, Jean Pierre González, Irvin González-López, Concepción Grajales-Muñiz, Ricardo Grande, Rosa María Gutiérrez Rios, Jesús Hernández, Alejandra Hernández-Terán, Alfredo Herrera-Estrella, Carla Ivón Herrera-Najera, Pavel Isa, Verónica Mata-Haro, Daniel Lira Morales, Susana Lopez, Antonio Loza Román, Brenda Irasema Maldonado-Meza, Bernardo Martínez-Miguel, José Arturo Martínez-Orozco, Célida Martínez- Rodríguez, Margarita Matías-Florentino, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, , Mario Mújica-Sánchez, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Alicia Ocaña-Mondragón, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juárez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramírez-Plascencia, Jorge Salas-Hernández, Angel Gustavo Salas-Lais, Alejandro Sánchez-Flores, Clara Esperanza Santacruz-Tinoco, María Guadalupe Santiago-Mauricio, Selene Zárate, Nelly Sélem-Mojica, Blanca Taboada, Kathia Elizabeth Tapia-Diaz, Gloria Vazquez, Joel Armando Vázquez-Pérez)."
hCoV-19/Bonaire/BQ-RIVM-121924/2022,EPI_ISL_16445441,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Australia/QLD0x012FD8/2023,EPI_ISL_17256651,Pathology Queensland and Forensic Scientific Services,PHV-FSS,Chenwei Wang on behalf of Q-PHIRE Genomics
hCoV-19/Thailand/DMSc-08602/2022,EPI_ISL_10968889,Regional Medical Sciences Center 7 Khon Kaen,"Medical Genomic Centre,Medical Life Sciences Institute,Department of Medical Sciences, Ministry of Public Health","Surakameth Mahasirimongkol,Nuanjun Wichukchinda,Archawin Rojanawiwat,Pilailuk Akkapaiboon Okada ,Waritta Sawaengdee,Penpitcha Thawong,Pundharika Piboonsiri,Jirapha Pakdee,Natthakul Bunneang"
hCoV-19/Argentina/LCMSC-5521-151/2023,EPI_ISL_16766322,"Laboratorio Central, Ministerio de Salud Córdoba",Departamento Laboratorio Central and Unidad Operativa Centro Nacional de Genómica y Bioinformática,"Castro, G.; Sicilia, P.; Poklepovich, T.; Campos, J.; Barbas, G."
hCoV-19/Argentina/LCMSC-5430-151/2023,EPI_ISL_16766321,"Laboratorio Central, Ministerio de Salud Córdoba",Departamento Laboratorio Central and Unidad Operativa Centro Nacional de Genómica y Bioinformática,"Castro, G.; Sicilia, P.; Poklepovich, T.; Campos, J.; Barbas, G."
hCoV-19/Dominican Republic/2119811-LNSPDD/2022,EPI_ISL_16283020,Laboratorio Nacional de Salud Pública Dr. Defilló,Laboratorio Nacional de Salud Pública Dr. Defilló,"Isaac Miguel Sánchez, Carlos Vergara Castillo, Francisco Cuevas, Edwin Féliz, Anny Peña, Pedro Martinez, Yeny E. Lara Perez, Robinson Agramonte"
hCoV-19/New Zealand/22XA4002/2022,EPI_ISL_15956439,Wellington SCL,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Bethany Forsythe, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Yoryea Mantziou-Hogg, Lauren Jelly, Olin Silander, Kirti Deo, Ana Claasen, Subin Jeon, Joep de Ligt, David Winter, Abbey Huriwai, Anju Keenan, Laura Kerr, Tisiola Talalima, Amy Bradhsaw, Klarysse Berquist"
hCoV-19/USA/ME-CDC-VSX-A079061/2023,EPI_ISL_17190849,Helix,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Helix CA, Shatavia Morrison, Christopher Gulvik, Erisa Sula, Clinton Paden, Paritra Mandal, Moneeb Bajwa, Natalie Thornburg, Reina Chau, Paritra Mandal, Nehalraza Momin, Duncan MacCannell"
hCoV-19/Botswana/R199B24_BHP_122085231/2022,EPI_ISL_16521199,Diagnofirm Medical Laboratories,Botswana Harvard HIV Reference Laboratory,"Sikhulile Moyo, Wonderful T. Choga, Dorcas Maruapula, Ignetious Makozhombwe, Mohammed Chand, Sefetogi Ramaologa, Badisa Phafane, Thongbotho Mphoyakgosi, Boitumelo Zuze, Legodile Kooepile, Nokuthula Ndlovu, Patience Motshosi, Kedumetse Seru, Lesego Kuate-Lere, Kutlo Machete, Pamela Smith-Lawrence, Tefelo Thela, Shirley Johane, Mogomotsi Matshaba, Roger Shapiro, Shahin Lockman, Joseph Makhema, Mphaphi B. Mbulawa, Simani Gaseitsiwe"
hCoV-19/Austria/LB-R00088-S069/2022,EPI_ISL_13878565,Lifebrain Covid Labor GmbH,Lifebrain Covid Labor GmbH,"Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Anna Edermayr"
hCoV-19/Pakistan/IDRL-AKU-KHII0205-S6/2023,EPI_ISL_16598938,"""Clinical Lab, Aga Khan University Hospital""","""Infectious Diseases Research Laboratory, Department of Pediatrics and Child Health""","""Waqasuddin Khan, Furqan Kabir, Samiah Kanwar, Imran Nisar, Adil Kalam, Fatima Aziz, Sehrish Muneer, Zahra Hasan, Fyezah Jehan"""
hCoV-19/Saudi Arabia/KAUST-MADINAH857/2020,EPI_ISL_513193,Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST),Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST),"Afrah Alsomali, Fathia Ben Rached, Raeece Naeem, Sharif Hala, Rahul P Salunke, Amanda Ooi, Luke Esau, Sara Mfarrej, Amit Kumar Subudhi, Fadwa Alofi, Asim Khogeer, Kahled Algithami, Anwar Hashem, Naif Almontashiri, Arnab Pain"
hCoV-19/USA/GA-GBW-Z152771/2022,EPI_ISL_14277997,Northeastern LSTC,Ginkgo Bioworks Clinical Laboratory / XpressCheck,"Keith Robison, Dongjuan Dai, Brintha P. Girinathan, Allison L. Hicks, Bryan Cosca, Alex M. Plocik, Birgitte B. Simen"
hCoV-19/Japan/PG-233106/2022,EPI_ISL_12984087,Ishikawa Prefectural Institute of Public Health and Enviromental Science,Ishikawa Prefectural Institute of Public Health and Enviromental Science,"Eriko Kimura, Masaya Nakazawa, Nao Kobashi, Eri Nariai, Sachiko Nakamura, Sanae Kuramoto, Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Makoto Kuroda"
hCoV-19/Australia/TAS00279/2020,EPI_ISL_577607,Royal Hobart Hospital,Royal Hobart Hospital,"Cooley L., van Haeften R."
hCoV-19/USA/MN-CDC-VSX-A00188/2023,EPI_ISL_17190846,Helix,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Helix CA, Shatavia Morrison, Christopher Gulvik, Erisa Sula, Clinton Paden, Paritra Mandal, Moneeb Bajwa, Natalie Thornburg, Reina Chau, Paritra Mandal, Nehalraza Momin, Duncan MacCannell"
hCoV-19/Dominican Republic/2125820-LNSPDD/2023,EPI_ISL_16533197,Laboratorio Nacional de Salud Pública Dr. Defilló,Laboratorio Nacional de Salud Pública Dr. Defilló,"Isaac Miguel Sánchez, Carlos Vergara Castillo, Eric J. Nilles, Francisco Cuevas, Edwin Féliz, Anny Peña, Pedro Martinez, Yeny E. Lara Perez, Robinson Agramonte"
hCoV-19/Curacao/CW-RIVM-122526/2022,EPI_ISL_16445452,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Botswana/R199B01_BHP_122085124/2022,EPI_ISL_16521190,Diagnofirm Medical Laboratories,Botswana Harvard HIV Reference Laboratory,"Sikhulile Moyo, Wonderful T. Choga, Dorcas Maruapula, Ignetious Makozhombwe, Mohammed Chand, Sefetogi Ramaologa, Badisa Phafane, Thongbotho Mphoyakgosi, Boitumelo Zuze, Legodile Kooepile, Nokuthula Ndlovu, Patience Motshosi, Kedumetse Seru, Lesego Kuate-Lere, Kutlo Machete, Pamela Smith-Lawrence, Tefelo Thela, Shirley Johane, Mogomotsi Matshaba, Roger Shapiro, Shahin Lockman, Joseph Makhema, Mphaphi B. Mbulawa, Simani Gaseitsiwe"
hCoV-19/Curacao/CW-RIVM-119990/2022,EPI_ISL_16202011,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/New Zealand/22YA5882/2022,EPI_ISL_16435645,Pathlab Rotorua,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Bethany Forsythe, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Yoryea Mantziou-Hogg, Lauren Jelly, Olin Silander, Kirti Deo, Ana Claasen, Subin Jeon, Joep de Ligt, David Winter, Abbey Huriwai, Anju Keenan, Laura Kerr, Tisiola Talalima, Amy Bradhsaw, Klarysse Berquist"
hCoV-19/Mongolia/142209/2021,EPI_ISL_1805961,National Center for Communicable Diseases (NCCD) National Influenza Center,National Center for Communicable Diseases (NCCD) National Influenza Center,"Naranzul Ts,Bayasgalan N,Khishigmunkh Ch,Seiichiro F,Hideka M,Mina N,Shinji W,Ankhbayar S,Tsogzolmaa G,Darmaa B,Battur L,Nymadawa P"
hCoV-19/Cambodia/22-02-0103/2022,EPI_ISL_11190069,"Virology Unit, Institut Pasteur du Cambodge","Virology Unit, Institut Pasteur du Cambodge","Leakhena Pum, Sophoannadedh Rath, Cecile Troupin, Jurre Y Siegers, Ly Sovann, Kraing Sidonn, Yi Sengdoeurn, Chin Savuth, Chau Darapheak, Veasna Duong, Erik A Karlsson"
hCoV-19/Jamaica/202112041/2021,EPI_ISL_8926588,"Biotechnology Core Facility Branch, Centers for Disease Control and Prevention","Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Suwanie Lewis,Antoni Comrie,Alison Nicholson,Carl Bruce,Sandra Jackson,Michelle Brown,Michelle Hamilton,Nathlee McMorris,Karen Webster-Kerr"
hCoV-19/Kenya/SS10928/2022,EPI_ISL_15911544,Pathologist Lancet Kenya,"KEMRI-Wellcome Trust Research Programme,Kilifi","Githinji G., Ochola I., Agoti C., Mohamed K.S., de Laurent Z., Mburu M.W., Morobe J., Ndwiga L. Makori T., Ongera E., Lambisia A. Nokes D J., Mukadam R, Ngari C., Munoko A."
hCoV-19/Canada/MB-CPL-548576/2022,EPI_ISL_15844739,MB-Cadham Provincial laboratory,Manitoba Cadham Provincial Laboratory,"David Alexander, Emma Rempel, Brooke Cistarelli, Adam Hedley, Kerry Dust, Ayo Bolaji"
hCoV-19/Cambodia/g1202029/2022,EPI_ISL_16079410,"Virology Unit, Institut Pasteur du Cambodge","Virology Unit, Institut Pasteur du Cambodge","Leakhena Pum, Sophoannadedh Rath, Cecile Troupin, Jurre Y Siegers, Ly Sovann, Kraing Sidonn, Yi Sengdoeurn, Chin Savuth, Chau Darapheak, Veasna Duong, Erik A Karlsson"
hCoV-19/New Zealand/22ZA3539/2022,EPI_ISL_15956458,Medlab South,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Bethany Forsythe, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Yoryea Mantziou-Hogg, Lauren Jelly, Olin Silander, Kirti Deo, Ana Claasen, Subin Jeon, Joep de Ligt, David Winter, Abbey Huriwai, Anju Keenan, Laura Kerr, Tisiola Talalima, Amy Bradhsaw, Klarysse Berquist"
